name,description,category,status
Monitor Dell 24",Monitor Full HD para uso geral,Hardware,in_use
Teclado Mecânico HyperX,Teclado mecânico RGB,Hardware,in_use
CPU Intel Core i7,Processador para desktop,Hardware,maintenance
Switch Cisco 48-portas,Switch gerenciável para redes,Network,inactive
Software de Backup Acronis,Software para backups automatizados,Software,retired
Impressora HP LaserJet,Impressora a laser de alta velocidade,Hardware,in_use
Notebook Lenovo ThinkPad X1,Notebook empresarial de alto desempenho,Hardware,maintenance
Roteador MikroTik,Equipamento de roteamento avançado,Network,in_use
Firewall Fortinet 80F,Dispositivo de segurança de rede,Network,retired
Software Microsoft Office 365,Suite de produtividade em nuvem,Software,in_use
